"category_id","category_name","shortname","sort_name"
"1","Arts & Culture","Arts","Arts & Culture"
"2","Career & Business","Business","Career & Business"
"3","Cars & Motorcycles","Auto","Cars & Motorcycles"
"4","Community & Environment","Community","Community & Environment"
"5","Dancing","Dancing","Dancing"
"6","Education & Learning","Education","Education & Learning"
"8","Fashion & Beauty","Fashion","Fashion & Beauty"
"9","Fitness","Fitness","Fitness"
"10","Food & Drink","Food & Drink","Food & Drink"
"11","Games","Games","Games"
"12","LGBT","LGBT","LGBT"
"13","Movements & Politics","Movements","Movements & Politics"
"14","Health & Wellbeing","Well-being","Health & Wellbeing"
"15","Hobbies & Crafts","Crafts","Hobbies & Crafts"
"16","Language & Ethnic Identity","Languages","Language & Ethnic Identity"
"17","Lifestyle","Lifestyle","Lifestyle"
"18","Book Clubs","Book Clubs","Book Clubs"
"20","Movies & Film","Films","Movies & Film"
